listing_id,year,count
13913,2010,1
13913,2011,4
13913,2013,2
13913,2014,1
13913,2015,1
13913,2016,1
13913,2017,1
13913,2018,2
13913,2019,6
13913,2020,1
13913,2021,1
13913,2022,19
13913,2023,1
13913,2024,3
15400,2009,1
15400,2010,2
15400,2011,10
15400,2012,12
15400,2013,8
15400,2014,11
15400,2015,12
15400,2016,15
15400,2017,7
15400,2018,3
15400,2019,7
15400,2020,1
15400,2022,3
15400,2023,2
15400,2024,2
17402,2011,6
17402,2012,6
17402,2013,3
17402,2014,6
17402,2015,4
17402,2018,14
17402,2019,3
17402,2021,2
17402,2022,10
17402,2023,1
17402,2024,1
24328,2010,1
24328,2011,4
24328,2012,12
24328,2013,8
24328,2014,21
24328,2015,32
24328,2016,12
24328,2019,1
24328,2022,3
33332,2010,1
33332,2011,1
33332,2018,2
33332,2020,1
33332,2021,6
33332,2022,8
36274,2011,7
36274,2013,1
36299,2010,1
36299,2011,5
36299,2012,11
36299,2013,4
36299,2014,8
36299,2015,7
36299,2016,8
36299,2017,7
36299,2018,11
36299,2019,14
36299,2020,2
36299,2021,8
36299,2022,12
36299,2023,8
36299,2024,4
36660,2010,26
36660,2011,66
36660,2012,50
36660,2013,59
36660,2014,62
36660,2015,52
36660,2016,52
36660,2017,63
36660,2018,41
36660,2019,52
36660,2020,5
36660,2021,21
36660,2022,44
36660,2023,61
36660,2024,37
38610,2012,1
38610,2013,1
38610,2015,2
38610,2016,4
38610,2017,8
38610,2018,6
38610,2019,10
38610,2020,4
38610,2022,3
38610,2023,3
38950,2021,1
38995,2020,6
38995,2022,3
38995,2023,37
38995,2024,9
39387,2014,3
39387,2015,2
39387,2018,2
39387,2019,3
41445,2012,3
41445,2013,5
41445,2016,2
41445,2017,4
41445,2019,5
41445,2023,1
41445,2024,5
41509,2011,3
41509,2012,3
41509,2013,12
41509,2014,10
41509,2015,10
41509,2016,6
41509,2017,7
41509,2018,14
41509,2019,6
41712,2011,24
41712,2012,11
41712,2013,4
41712,2014,7
41712,2015,1
41712,2016,10
41712,2017,8
41712,2018,9
41712,2019,9
41712,2021,4
41712,2022,22
41712,2023,15
41712,2024,4
41870,2011,2
42010,2010,15
42010,2011,67
42010,2012,69
42010,2013,75
42010,2014,59
42010,2015,58
42010,2016,44
42010,2017,33
42010,2018,31
42010,2019,46
42010,2020,12
42010,2021,7
42010,2022,12
42010,2023,29
42010,2024,34
43129,2013,11
43129,2014,33
43129,2015,26
43129,2016,28
43129,2017,23
43129,2018,45
43129,2019,25
43129,2020,3
43129,2021,3
43129,2022,25
43129,2023,15
43129,2024,8
43202,2012,1
43202,2013,1
43202,2014,10
43202,2015,25
43202,2016,16
43202,2017,18
43202,2018,16
43202,2019,14
43202,2020,4
43202,2021,5
43202,2022,12
43202,2023,7
43202,2024,5
45163,2021,1
45168,2010,9
45168,2011,11
45168,2012,6
45168,2013,14
45168,2014,13
45168,2015,17
45168,2016,4
45168,2017,7
45168,2018,15
45168,2019,5
45168,2020,1
46992,2010,9
46992,2011,24
46992,2012,13
46992,2013,4
46992,2014,32
46992,2015,25
46992,2016,8
46992,2017,30
46992,2018,29
46992,2019,36
46992,2020,7
46992,2022,8
47192,2010,10
47192,2011,41
47192,2012,54
47192,2013,36
47192,2015,64
47192,2016,56
47192,2017,42
47192,2018,38
47192,2019,31
47192,2021,16
47192,2022,36
47192,2023,26
47192,2024,8
47687,2010,7
47687,2011,21
47687,2012,1
47687,2013,2
47687,2014,12
47687,2015,10
47687,2016,12
47687,2020,1
47687,2021,2
47687,2022,30
47687,2023,41
47687,2024,31
49970,2010,1
49970,2011,15
49970,2012,3
49970,2013,4
49970,2014,11
49970,2015,8
49970,2016,8
49970,2017,14
49970,2018,7
49970,2019,13
49970,2020,2
49970,2021,7
49970,2022,35
49970,2023,40
49970,2024,33
52624,2024,2
55402,2018,2
55402,2023,3
55402,2024,2
56229,2010,3
56229,2011,3
56229,2012,2
56229,2013,2
56229,2014,12
56229,2015,12
56229,2016,4
56229,2020,3
56229,2021,4
56229,2022,31
56229,2023,28
56229,2024,32
63948,2011,1
63948,2014,2
63948,2016,19
63948,2017,1
63948,2020,3
63948,2021,10
63948,2022,34
63948,2023,46
63948,2024,44
66772,2011,4
66772,2012,1
66772,2013,3
66772,2015,5
66772,2016,7
66772,2018,4
66772,2019,24
66772,2020,7
66772,2021,9
66772,2022,35
66772,2023,47
66772,2024,25
67851,2012,1
67851,2013,4
67851,2014,1
67851,2015,7
67851,2016,5
67851,2017,10
67851,2018,2
67851,2019,4
67851,2020,2
67851,2023,10
67851,2024,2
69198,2012,1
69198,2013,1
69198,2014,3
69198,2018,1
69198,2019,5
69198,2021,1
69198,2022,1
72913,2011,21
72913,2012,24
72913,2013,19
72913,2014,18
72913,2015,13
72913,2016,17
72913,2017,11
72913,2018,15
72913,2019,17
72913,2020,2
73125,2011,1
73125,2013,11
73125,2021,3
73125,2022,17
73125,2023,15
73125,2024,4
73431,2013,6
73431,2014,10
73431,2015,18
73431,2016,2
73431,2017,8
73431,2018,4
73431,2019,7
73431,2020,4
73431,2021,4
73431,2022,10
73431,2023,15
73431,2024,17
74107,2011,5
74107,2012,1
74107,2015,38
74107,2016,47
74107,2017,11
74107,2018,17
74107,2022,11
74107,2024,11
78606,2019,2
78892,2015,8
78892,2016,15
78892,2017,15
78892,2018,11
78892,2019,6
78892,2021,1
78892,2022,1
78892,2023,2
79129,2012,1
79129,2013,8
79129,2014,19
79129,2015,28
79129,2016,12
79129,2017,19
79129,2018,25
79129,2019,17
79129,2020,13
79129,2021,3
79129,2022,16
79129,2023,8
79571,2011,6
79571,2012,5
79571,2017,1
80123,2011,7
80123,2012,11
80123,2013,15
80123,2014,19
80123,2015,17
80123,2016,18
80123,2017,12
80123,2018,15
80123,2019,15
80123,2020,4
80123,2021,1
80123,2022,12
80123,2023,16
80123,2024,1
81052,2013,3
81052,2014,2
81052,2015,3
81052,2016,1
81052,2018,1
81080,2017,1
81080,2018,2
81080,2019,4
81080,2021,1
81080,2022,8
81410,2011,9
81410,2012,16
81410,2013,25
81410,2014,16
81410,2015,25
81410,2016,29
81410,2017,26
81410,2018,20
81410,2019,37
81410,2020,8
81410,2023,10
81410,2024,22
81449,2011,8
81449,2012,16
81449,2013,29
81449,2014,40
81449,2015,32
81449,2016,27
81449,2017,15
81449,2018,14
81449,2019,2
81449,2020,7
81449,2021,2
81449,2023,5
81449,2024,9
81635,2013,2
81635,2015,14
81635,2016,18
81635,2017,9
81635,2018,5
81635,2019,6
81635,2020,1
81635,2022,3
81635,2023,8
81635,2024,5
83027,2015,1
83027,2024,1
84223,2011,25
84223,2012,23
84223,2013,6
84223,2014,44
84223,2015,44
84223,2016,60
84223,2017,53
84223,2018,47
84223,2019,52
84223,2020,8
84223,2021,2
84223,2022,16
84223,2023,26
84223,2024,23
84532,2014,2
84532,2015,13
84532,2016,17
84532,2017,9
84532,2018,22
84532,2019,13
84532,2020,6
84532,2021,6
84532,2022,34
84532,2023,23
84532,2024,3
85191,2011,28
85191,2012,27
85191,2013,44
85191,2014,57
85191,2015,58
85191,2016,61
85191,2017,47
85191,2018,50
85191,2019,40
85191,2020,2
85191,2021,14
85191,2022,52
85191,2023,54
85191,2024,28
86092,2011,4
86092,2012,6
86092,2013,8
86092,2014,8
86092,2015,11
86092,2016,9
86092,2017,10
86092,2018,13
86092,2019,17
86092,2020,6
86092,2021,15
86092,2022,31
86092,2023,35
86092,2024,23
89787,2016,1
89870,2011,3
89870,2012,2
89870,2013,9
89870,2014,10
89870,2015,11
89870,2016,17
89870,2017,11
89870,2018,14
89870,2019,9
89870,2021,14
89870,2022,18
89870,2023,16
89870,2024,8
90962,2011,3
90962,2013,2
90962,2022,3
90962,2023,4
90962,2024,1
91287,2011,3
91287,2012,12
91287,2013,12
91287,2014,9
91287,2015,2
91287,2020,1
91287,2021,2
91287,2022,16
91287,2023,5
92352,2016,1
92352,2017,9
92352,2018,15
92352,2019,9
92352,2020,1
92352,2021,2
92352,2022,11
92352,2023,11
92352,2024,10
92399,2011,16
92399,2012,32
92399,2013,31
92399,2014,21
92399,2015,38
92399,2016,20
92399,2017,13
92399,2018,14
92399,2019,24
92399,2020,4
92399,2021,21
92399,2022,29
92399,2023,27
92399,2024,9
93015,2012,1
93015,2015,1
93015,2016,2
93015,2017,5
93015,2018,4
93015,2019,7
93015,2021,7
93015,2022,8
93015,2023,1
93015,2024,3
93457,2012,15
93457,2013,53
93457,2014,16
93457,2015,39
93457,2016,21
93457,2017,5
93457,2018,16
93457,2019,9
93457,2020,2
93457,2022,1
93457,2023,8
93457,2024,8
93783,2011,3
93783,2012,2
93783,2013,3
93783,2014,1
93783,2018,3
93783,2019,2
93783,2022,7
93783,2023,2
93783,2024,2
94138,2018,21
94138,2019,18
94138,2020,2
94138,2023,1
94138,2024,1
94662,2011,28
94662,2012,14
94662,2013,44
94662,2014,28
94662,2024,8
96052,2011,17
96052,2012,7
96052,2013,11
96052,2014,6
96052,2015,7
96052,2016,5
96052,2017,6
96052,2018,6
96052,2019,5
96052,2022,5
96052,2023,6
96052,2024,2
97506,2011,5
97506,2012,3
97506,2013,6
97506,2014,9
97506,2015,2
97506,2016,1
97506,2017,3
97506,2018,1
97506,2019,2
97506,2023,7
97506,2024,6
98541,2012,2
98541,2013,3
98541,2014,6
98541,2015,4
98541,2016,1
98541,2017,3
98541,2018,3
98541,2019,5
98541,2021,1
98541,2022,3
98541,2023,2
98541,2024,3
100479,2015,4
102565,2011,19
102565,2012,42
102565,2013,43
102565,2014,63
102565,2015,47
102565,2016,25
102565,2017,29
102565,2018,33
102565,2019,32
102565,2020,1
102565,2021,3
102565,2022,24
102565,2023,20
102565,2024,9
103682,2012,1
103682,2017,14
103682,2018,11
103682,2019,35
103682,2020,3
103865,2022,3
103865,2023,3
103865,2024,10
106332,2011,9
106332,2012,7
106332,2013,20
106332,2014,13
106332,2015,13
106332,2016,3
107051,2011,18
107051,2012,27
107051,2013,42
107051,2014,44
107051,2015,44
107051,2016,53
107051,2017,76
107051,2018,76
107051,2019,73
107051,2020,27
107051,2021,53
107051,2022,72
107051,2023,76
107051,2024,45
116268,2013,2
116268,2014,1
116268,2015,10
116268,2016,1
116268,2017,2
116268,2019,4
116268,2020,3
116268,2021,5
116268,2022,7
116268,2023,2
116268,2024,1
117203,2012,2
117203,2013,4
117203,2014,4
117203,2015,9
117203,2016,11
117203,2017,4
117203,2018,12
117203,2019,9
117203,2020,2
117203,2021,7
117203,2022,8
117203,2023,15
117203,2024,4
127652,2011,5
127652,2012,19
127652,2013,45
127652,2014,42
127652,2015,18
127652,2016,31
127652,2017,22
127652,2018,4
127652,2019,11
127652,2020,4
127652,2023,10
127652,2024,5
131444,2011,1
131444,2012,5
131444,2013,13
131444,2014,11
131444,2015,18
131444,2016,10
