id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,145,3,580,2024-09-10,3.49,1,181,69,
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94498320836646,-3.185293348616568,Entire home/apt,105,3,338,2024-07-26,1.98,1,110,53,
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94215,-3.0964,Entire home/apt,110,4,73,2023-04-14,0.58,1,215,0,EH-70886-F
48645,Large sunny room on Royal Mile,221474,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,132,2,1065,2024-09-10,6.42,1,18,87,EH-70355-F
51505,Superb City Centre Apartment,236828,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,147,5,86,2024-08-31,0.51,12,24,34,
54188,The Four Sisters Boatel,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,225,1,36,2022-07-03,0.25,3,224,0,
55881,Lovely central apartment sleeps 5,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,245,2,332,2023-09-03,2.04,1,0,0,
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,225,4,176,2024-08-26,1.31,2,98,22,EH-67902-F
74877,Stunning luxury 2 Bedroom Loft Apartment  Balcony,394949,Derek,,North Leith and Newhaven,55.97785,-3.17872,Entire home/apt,200,2,177,2024-09-08,1.14,1,208,21,
97472,"PERFECT LOCATION,FREE PARKING,WIFI",486859,Alan,,Morningside,55.93,-3.20995,Entire home/apt,75,300,36,2021-08-30,0.23,1,40,0,
112625,"Epicurean Clerk - Huge, Central",574430,Michele,,Meadows and Southside,55.93865,-3.1794,Entire home/apt,357,3,185,2024-06-23,1.15,1,57,43,
118314,Vibrant Cottage Style Flat Near Leith Links Park,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96814,-3.16032,Entire home/apt,168,2,257,2024-08-09,1.59,8,56,32,
122930,Explore the Royal Mile from a City View Apartment,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,131,4,885,2024-09-02,5.60,2,241,69,EH-69876-F
142356,NewTown Heart of the Burgh - Studio,691610,Simon,,New Town West,55.95743,-3.20036,Entire home/apt,150,30,58,2023-08-31,0.36,1,176,0,
